plot_id,species,spp_code,dbh_cm,top_kill,full_kill
50,Acacia dealbata,ACADEA,11.8,1,1
50,Acacia dealbata,ACADEA,11.9,1,1
50,Acacia dealbata,ACADEA,12.6,1,1
50,Acacia dealbata,ACADEA,13.1,1,1
50,Acacia dealbata,ACADEA,13.6,1,1
50,Acacia dealbata,ACADEA,15.1,1,1
50,Eucalyptus regnans,EUCREG,20.8,1,1
50,Eucalyptus regnans,EUCREG,21.8,1,1
50,Eucalyptus regnans,EUCREG,23.3,1,1
50,Eucalyptus regnans,EUCREG,28.1,0,0
50,Eucalyptus regnans,EUCREG,37.9,0,0
50,Eucalyptus regnans,EUCREG,39.7,0,0
50,Eucalyptus regnans,EUCREG,42.1,0,0
50,Eucalyptus regnans,EUCREG,50.9,0,0
50,Eucalyptus regnans,EUCREG,57.8,0,0
50,Eucalyptus regnans,EUCREG,62.4,0,0
50,Eucalyptus regnans,EUCREG,63.8,0,0
50,Eucalyptus regnans,EUCREG,64.3,0,0
50,Eucalyptus regnans,EUCREG,71.8,0,0
50,Eucalyptus regnans,EUCREG,72,0,0
50,Eucalyptus regnans,EUCREG,74.6,0,0
50,Eucalyptus regnans,EUCREG,78.6,0,0
50,Eucalyptus regnans,EUCREG,84,0,0
50,Eucalyptus regnans,EUCREG,85.8,0,0
50,Eucalyptus regnans,EUCREG,89.5,0,0
50,Eucalyptus regnans,EUCREG,92.7,0,0
50,Eucalyptus regnans,EUCREG,93.1,0,0
50,Eucalyptus regnans,EUCREG,94.3,0,0
50,Eucalyptus viminalis,EUCVIM,62.5,1,1
50,Eucalyptus viminalis,EUCVIM,92.2,1,1
51,Acacia dealbata,ACADEA,10,1,1
51,Acacia dealbata,ACADEA,10.6,1,1
51,Acacia dealbata,ACADEA,10.9,1,1
51,Acacia dealbata,ACADEA,11.8,1,1
51,Acacia dealbata,ACADEA,14.5,1,1
51,Acacia dealbata,ACADEA,14.7,1,1
51,Acacia dealbata,ACADEA,14.9,1,1
51,Acacia dealbata,ACADEA,14.9,1,1
51,Acacia dealbata,ACADEA,15,1,1
51,Acacia dealbata,ACADEA,15.1,1,1
51,Acacia dealbata,ACADEA,15.9,1,1
51,Acacia dealbata,ACADEA,17.3,1,1
51,Acacia dealbata,ACADEA,17.6,1,1
51,Acacia dealbata,ACADEA,18.3,1,1
